Secondary Name,Primary Name
רבי אבין בר בנימין(146),רבי אחא בר רבי אבון בר בנימין(264)
רבי אחא ברבי(300),רבי אחא בר רבי אבון בר בנימין(264)
רב אדא בריה דרב אויא(196),רב אחא בריה דרב אויא(267)
רב אחא בריה דרב חייא(278),רב אחא בריה דרב אויא(267)
רב אדא בריה דרב איקא(198),רב אחא בריה דרב איקא(270)
רב אידי בריה דרב איקא(346),רב אחא בריה דרב איקא(270)
רב אחא בר חנא(280),רב אחא בר בר חנה(275)
איה מרי(354),אחא בר הידיא(277)
רב אדא ברבי חנינא(204),רבי אחא בר חנינא(281)
רבי יוחנן בר חנינא(1584),רבי אחא בר חנינא(281)
רב פפא בר יעקב(2525),רב אחא בר יעקב(286)
רב אדא בר רב עזא(209),רב אחא בר רב עוירא(291)
רב אחא בר רב עויא(10046),רב אחא בר רב עוירא(291)
רבא בר רב עזא(2620),רב אחא בר רב עוירא(291)
רבי אחא בר אילא(269),רב אחא בר עולא(292)
רב הונא בריה דרב פנחס(931),רב אחא בר פנחס(293)
רבי אחא אריכא(260),רבי אחא בר פפא(294)
רב אדא בר נתן(208),רב אחא בר רב(296)
רב אחא בריה דרב אחא(268),רב אחא בריה דרבא(297)
רב הונא בריה דרבא(934),רב אחא בריה דרבא(297)
רב חביבא בריה דרבא(1054),רב אחא בריה דרבא(297)
אבא בר תחליפא(55),רב אחא בר תחליפא(299)
רב אחא מדפתי(5828),רב אחא מדיפתי(304)
רב אחא בר אמי(271),רב אחדבוי בר אמי(312)
רב אחדבוי(10047),רב אחדבוי בר אמי(312)
רב אחיי דמן אחא(327),רב אחדבוי דמן אחא(314)
רבי אחא ברבי יאשיה(282),רבי אחי ברבי יאשיה(322)
רבי יוחנן ברבי יאשיה(1585),רבי אחי ברבי יאשיה(322)
רבי איבו(10049),רבי איבון(333)
רב אידי(20816),רבי אידי(341)
רבי אורי(238),רבי אידי(341)
רב אידית(353),רבי אידי(341)
רב אדא בר אבין(193),רב אידי בר אבין(343)
רב אשי בר אבין(572),רב אידי בר אבין(343)
רב דימי בר אבא(869),רב אידי בר אבין(343)
אזגור מלכא(253),איזגדר מלכא(356)
רבי אלעשה(493),רבי אילאסאה(363)
רבי לעאיי(2066),רבי אילעאי הזקן(367)
רבי לעיי(10127),רבי אילעאי הזקן(367)
רבי אלעא(21606),רבי אילעאי(368)
רבי אלעאי(21608),רבי אילעאי(368)
רבי אילא(361),רבי אילעאי(368)
רבי אילעא(5815),רבי אילעאי(368)
הילא(959),רבי אילעאי(368)
יילא(1803),רבי אילעאי(368)
רבי לייא(2028),רבי אילעאי(368)
רבי עילאי(2439),רבי אילעאי(368)
רבי אלעזר בר ברכיה(427),רבי אלעאי בר ברכיה(370)
רבי הלל בן ברכיה(970),רבי אלעאי בר ברכיה(370)
רבי חילפיי(1140),אילפא(371)
אבוה דרב אחא בריה דרב איקא(100),רב איקא(387)
רב עוקבא בר חיננא מפרישנא(2428),רב איקא מפשרוניא(391)
ליכסה(2060),אלכסא(406)
אלכסנדרוס(10051),אלכסנדרוס מוקדון(410)
רבי אליעזר(10052),רבי אליעזר בן הורקנוס(417)
רבי ליעזר בי רבי ישמעאל(10059),רבי אליעזר בן הורקנוס(417)
רבי אליעזר בי רבי ישמעאל(455),רבי אליעזר בן הורקנוס(417)
רבי לעזר אבוי דרבי יצחק (בר נחמן)(10053),רבי אלעזר אבוי דרבי יצחק בר נחמן(420)
בן דינאי(642),אליעזר בן דינאי(432)
תחינה בן פרישה(2947),אליעזר בן דינאי(432)
רבי אליעזר בן דגלאי(429),רבי אלעזר בן דלגיי(433)
רבי לעזר בן דלגיי(10054),רבי אלעזר בן דלגיי(433)
רבי יוסי בן דלגאי(1680),רבי אלעזר בן דלגיי(433)
בן דמא(644),רבי אלעזר בן דמא(434)
אלעזר בן חנוך(438),אלעזר בן הנד(436)
רבי לעזר בי רבי חגיי(10055),רבי אלעזר בי רבי חגיי(437)
רבי אלעזר איש ברתותא(422),רבי אלעזר בן יהודה איש ברתותא(443)
רבי אלעזר בן יהודה(10057),רבי אלעזר בן יהודה איש ברתותא(443)
רבי אליעזר בן יהודה איש אובלין(10058),רבי אליעזר בן יהודה איש כפר אובלין(444)
רבי אלעזר בר חנינה(439),רבי אלעזר ברבי(446)
רבי לעזר בר חנינה(10056),רבי אלעזר ברבי(446)
רבי אלעזר בר יוסף(448),רבי אלעזר ברבי(446)
רבי אליעזר ברבי יוסי(21599),רבי אליעזר בנו של רבי יוסי הגלילי(447)
אלעזר בן אחבאי(424),אלעזר בן מהבאי(457)
רבי אלעזר(10060),רבי אלעזר בן פדת(467)
אלעזר בן פחורה(469),אלעזר בן פועירה(468)
רבי אלעזר בן ירמיה(454),רבי אלעזר בן פנחס(471)
רבי אלעזר בן פפוס(472),רבי אלעזר בן פנחס(471)
רבי לעזר בן פפוס(10061),רבי אלעזר בן פנחס(471)
רבי אלעזר בר צדוק(21648),רבי אלעזר ברבי צדוק(475)
רבי אליעזר ברבי צדוק(21600),רבי אלעזר ברבי צדוק(475)
בן שמוע(683),רבי אלעזר בן שמוע(477)
רבי לעזר דרומיא(10063),רבי אלעזר דרומיא(483)
אבא בר קפרא(53),רבי אלעזר הקפר(485)
בן הקפר(648),רבי אלעזר הקפר(485)
בר קפרא(775),רבי אלעזר הקפר(485)
רבי אלעזר בנו של רבי אלעזר הקפר(425),רבי אלעזר הקפר ברבי(486)
רבי אלעזר בן חסמא(441),רבי אלעזר חסמא(489)
רבי אימא(374),רבי אמי(495)
