Secondary Name,Primary Name
רבי אלעזר בר רבי הושעיה(435),רבי אושעיא רבה(239)
אלעזר בן חנוך(438),אלעזר בן הנד(436)
רבי אלעזר בר חנינה(439),רבי אלעזר ברבי(446)
רבי אלעזר בן חסמא(441),רבי אלעזר חסמא(489)
רבי אלעזר בר יוסף(448),רבי אלעזר ברבי(446)
רבי אלעזר בן ירמיה(454),רבי אלעזר בן פנחס(471)
רבי אליעזר בי רבי ישמעאל(455),רבי אליעזר בן הורקנוס(417)
רבי אלעזר ברבי סימאי(464),רבי סימאי(2368)
אלעזר בן פחורה(469),אלעזר בן פועירה(468)
רבי אלעזר בן פפוס(472),רבי אלעזר בן פנחס(471)
רבי אלעזר זעירה(488),רבי זירא(1017)
רבי אלעשה(493),רבי אילאסאה(363)
אמי בר אבין(502),אביי בר אבין(124)
רבי אמי בר אהבה(504),רבי אמי(495)
רבי אמי בר חייא(505),רבי אבון בר חייה(148)
רב אמי בר מתנה(508),רב טובי בר מתנה(1364)
רבי אמי בר עוקבה(509),רבי חמא בר עוקבא(1179)
רבי אימי בר פפי(510),אבימי בר פפי(134)
אנן ברבי אימי(528),רב חנן בר אמי(1314)
רבי אסא(529),רבי אסי(535)
רבי אסא בר זבדא(530),רבי אבא בר זבדא(31)
אסא בן עקיבה(531),רבי איסי בן עקיבא(548)
איסי אבוה דרבי זירא(536),אבוה דרבי זירא(103)
איסי בן גור אריה(537),רבי איסי בן עקיבא(548)
איסי בן גמליאל(538),רבי איסי בן עקיבא(548)
רב אסי בר חייא(540),רב שימי בר חייא(2738)
רב אסי בר חמא(541),רב יוסף בר חמא(1772)
רבי אסי בר חנינא(542),רבי יוסי ברבי חנינא(1689)
איסי בן יהודה(543),רבי איסי בן עקיבא(548)
איסי בן מהללאל(544),רבי איסי בן עקיבא(548)
רב אסי בר שאול(549),רבי יוסי בן שאול(1731)
רבי איסי דקיסרין(551),רבי נסא דקיסרין(2320)
ארטיקנס(563),ארסקינס(569)
רבי ארמנייא(567),רבי יעקב ארמנייא(1839)
רב אשי בר אבין(572),רב אידי בר אבין(343)
רבי אשיאן בר נגרי(576),אשייאן נגרא(579)
באטי בר טובי(583),בטי בר טוביה(594)
רבי ביבא בר אבינא(597),רבי אבא בר אבינה(19)
רבי ביבי בר אבא(601),רבי ביבי רבה(606)
רבי ביבי סנגוריא(605),רבי אבא סרנגיא(70)
רב בימי(612),רב אדא בר אבימי(192)
בינא(614),רב אבינא(169)
רבי בינא זעירא(615),רבי אבונא זעירא(111)
בינה שילוח(617),רב שילא בר אבינא(2725)
בן אילם(627),יוסף בן אילים מציפורי(1769)
בן אנטיגנוס(629),בן אטיטס(626)
בן בג בג(632),רבי יוחנן בן בג בג(1576)
בן ביבי(636),רבי יוסי בן ביבי(1672)
בן בתירא(638),רבי יהושע בן בתירא(1536)
בן גודגדא(640),רבי יוחנן בן גודגדא(1579)
בן גמלא(641),יהושע בן גמלא(1538)
בן דינאי(642),אליעזר בן דינאי(432)
בן דמא(644),רבי אלעזר בן דמא(434)
בן הסגן(647),רבי שמעון בן הסגן(2854)
בן הקפר(648),רבי אלעזר הקפר(485)
בן זומא(649),שמעון בן זומא(2856)
בן זכאי(651),רבן יוחנן בן זכאי(1583)
בן חכינאי(652),רבי חנניה בן חכינאי(1247)
בן יאסיין(654),רבי יוסי בן יאסין(1693)
בן יוחי(656),רבי שמעון בן יוחאי(2830)
בן יצף(657),בית יצאת(1883)
בן לקיש(661),רבי שמעון בן לקיש(2879)
בן ננס(664),רבי שמעון בן ננס(2885)
בן עזאי(668),שמעון בן עזאי(2888)
בן פדייא(669),בר פדא(763)
בן פטירי(671),יהודה בן פטירי(1474)
בן פנדירא(673),ישו בן פנדירא(1972)
בן קוביסין(677),בית כובשין(2021)
בן קמחית(679),שמעון בן קמחית(2895)
בן רחומי(681),רב רחומי(2670)
בן שמוע(683),רבי אלעזר בן שמוע(477)
בן תימא(685),רבי יהודה בן תימא(1494)
רבי בנאי אחוה דרבי חייא בר אבא(688),רבנאי אחוה דרבי חייא בר אבא(2658)
בנימין גנזכייה(698),מנימין סקסנאה(2136)
בנימן גר מצרי(699),מנימין גר מצרי(2135)
בר אבוה(704),בר חבו(730)
בר אדא מרי(709),רב אדא מרי(217)
בר אובא(713),בר אבין(708)
בר אלעשא(715),בן אלעשה(628)
בר דליה(720),ברדלא(783)
בר הי הי(724),בן הא הא(645)
בר הינק(725),רב הינק(962)
בר רב זביד(727),רב זביד אבוה דרבי שמעון בר זביד(994)
בר טברי(734),רבי לוליני בר טברי(2056)
בר יוחי(736),רבי שמעון בן יוחאי(2830)
בר כוזבא(740),בן כוזבא(658)
בר לקישא(745),רבי שמעון בן לקיש(2879)
בר מר שמואל(747),מר שמואל(2761)
בר נזירא(750),רבי שמעון בן נזירא(2882)
בר ניצור(753),בן נצר(665)
בר סירא(757),בן סירא(667)
בר פזי(764),בית פזי(2481)
בר פנדירא(768),ישו בן פנדירא(1972)
בר קזא(772),רב יהודה בר קזא(1482)
בר קפרא(775),רבי אלעזר הקפר(485)
רבי בריה(791),רבי אבא בריה דרבי פפי(52)
רבי ברכיה ברבי יעקב בר בת יעקב(793),רבי יעקב בריה דבת יעקב(1858)
רבי ברכיה ברבי סימון(794),רבי ברכיה(792)
גבילה אחוי דרבי בא בר כהן(804),מגבילה אחוי דרבי אבא בר כהן(2073)
גביעה בן קוסם(807),גביהא בן פסיסא(801)
רבי גדולה(809),רב גידל(820)
רב גידל דמן נרש(824),רב גידל בר מנשיא(823)
רב דימי בר אבא(869),רב אידי בר אבין(343)
רב דימי בר חמא(872),רב אבדימי בר חמא(82)
רב דימי בריה דרב נחמן בריה דרב יוסף(877),רב דימי בריה דרב נחמיה בריה דרב יוסף(876)
רב דימי דמן חיפה(880),רבי אבדימי דמן חיפה(85)
רב הונא בר אידי(902),רב חנילאי בר אידי(1206)
רב הונא בר ביזנא(906),רב חנא בר ביזנא(1192)
רב הונא בריה דרב הושעיא(910),רב הונא בריה דרב יהושע(918)
רבי חונא בר יוסף(919),רבי חונה הונא(897)
רב הונא בר ירמיה(921),רב הונא בר חייא(911)
רב הונא בר נחמיה(925),רב הונא מר בריה דרב נחמיה(943)
רבי חונא ברבי סימון(929),רבי חננא בר סנסן(1267)
רב הונא בריה דרב עילאי(930),רב עולא בריה דרב עילאי(2415)
רב הונא בריה דרב פנחס(931),רב אחא בר פנחס(293)
רב הונא בר פפא(932),רבי חנינא בר פפא(1275)
רב הונא בר רב קטינא(933),רב חנא בר קטינא(1197)
רב הונא בריה דרבא(934),רב אחא בריה דרבא(297)
רבי הונא הכהן(937),רבי חונה הונא(897)
רב הונא מסורא(939),רב חנינא מסורא(1290)
רב הונא מר בר אויא(940),רב הונא בר אויא(900)
רב הונא ציפוראה(946),רבי חונה רבה דציפורין(947)
הילא(959),רבי אילעאי(368)
רבי הלל בן ברכיה(970),רבי אלעאי בר ברכיה(370)
