Secondary Name,Primary Name
רבי ישמעאל בן לוגא(1990),רבי שמעון בן לוגא(2878)
רבי ישמעאל בר נחמן(1991),רבי שמואל בר נחמני(2800)
רבי ישמעאל בן קמחית(1994),שמעון בן קמחית(2895)
רבי ישמעאל בר תנחום(1995),רבי שמואל ברבי תנחום(2810)
רב כהנא אחוה דרב יהודה(2008),רב כהנא(2004)
כהנא בר ירמיה(2011),אבא בר ירמיה כהנא(41)
רב כהנא בר מניומי(2013),רב כהנא בר מתתיה(2014)
רב כהנא בריה דרב נתן(2017),רב הונא בריה דרב נתן(927)
כלבא שבוע(2025),בן כלבא שבוע(659)
רבי כרוספדאי בריה דרבי שבתאי(2026),רבי קריספא(2571)
רבי לייא(2028),רבי אילעאי(368)
רבי לא דכפרא(2029),רבי הלל דכיפרא(974)
רבי לוי בר אחיתה(2033),רבי לוי בר חיתא(2040)
רבי לוי בר נזירא(2042),רבי שמעון בן נזירא(2882)
רבי לוליאנוס בר טברוס(2053),רבי לוליני בר טברי(2056)
לוליינוס מלכא(2055),דיקליטיאנוס(883)
ליטינס(2059),דיקליטיאנוס(883)
ליכסה(2060),אלכסא(406)
רבי ליל בי רבי אלם(2061),רבי הלל בריה דרבי וולס(971)
רבי לעאיי(2066),רבי אילעאי הזקן(367)
רבי מאנא(2069),רבי מנא(2097)
מובגיי(2074),מבגאי(2071)
רבי מימר(2081),רבי אמי(495)
רבי מלאי(2089),רבי שמלאי הדרומי(2824)
רבי מנא בר חזקיה(2098),רבי מנא(2097)
רבי מנחם(2104),רבי מנחם ברבי יוסי(2111)
מנחם איש גופתא אריה(2106),מנחם בן גובתא דאריח(2109)
רבי מנחם איש גליא(2107),רבי מנחם דגליא(2116)
מניומי אסיא(2128),בנימין אסיא(693)
רב מנימין בר חלקיה(2134),רב מניומי בר חלקיה(2129)
מר בר רב אדא(2152),רב אדא(189)
רב מרי בר איסור גיורא(2177),רב מרי בר רחל(2190)
מרי בר בריה דרב הונא(2180),רב מרי בריה דרב חסדא(2184)
רב מרי ברה דבת שמואל(2181),רב מרי בר רחל(2190)
מרי בר מר עוקבא(2188),מרי בר מר(2187)
רב מרי בריה דרב פנחס בריה דרב חסדא(2189),רב מרי בריה דרב חסדא(2184)
רבי מריי(2193),רבי בירא(620)
מרים בת שמעון בן גוריון(2197),מרים בתו של נקדימון בן גוריון(2195)
רב משרשיא בריה דרב אמי(2210),רב משרשיא דבי רבי אמי(2216)
נהוראי אחתיה דרבי יהודה נשיאה(2233),יהודיניי אחתיה דרבי יודן נשייא(1523)
רב נהילאי בר אידי(2236),רב חנילאי בר אידי(1206)
נחום איש גליא(2243),רבי מנחם דגליא(2116)
נחום איש המדי(2245),נחום המדי(2250)
נחום ברבי סימאי(2246),רבי מנחם ברבי סימאי(2115)
רבי נחום בר פפא(2247),רבי מנחם בן נפח(2113)
רבי נחומא בר אפקשיון(2252),רבי נחוניא בן אפקשיון(2258)
רבי נחוניא איש בקעת בית חורתן(2256),רבי חוניא דברת חוורן(1070)
רבי נחוניא בן גודגדא(2259),רבי יוחנן בן גודגדא(1579)
רבנא נחמיה אחוה דריש גלותא(2268),רבנא נחמיה ריש גלותא(2283)
רבי נחומיה בריה דרבי חייא בר אבא(2273),רבי ניחומי בריה דרבי חייא בר אבא(2308)
רב נחמיה בר חנילאי(2275),רב נחמיה בריה דרב חנא בר חנילאי(2274)
רב נחמיה בריה דרב יהושע(2276),רב נחמיה בריה דרב יוסף(2277)
נחמיה בריה דרבי שמואל בר נחמן(2279),רב נחמן בריה דרבי שמואל בר נחמן(2301)
נחמיה חופר שיחין(2281),נחוניא חופר שיחין(2262)
רבי נחמן בר אבא(2286),רב חנן בר רבא(1327)
רב נחמן בר אושעיא(2288),רב נתן בר אושעיא(2340)
רב נחמן בריה דרב איקא(2290),רב חנינא בריה דרב איקא(1235)
רב נחמן בר אמי(2291),רבי חנן בר אמי(1315)
רב נחמן בר ברוך(2292),רב נחמיה בר ברוך(2271)
רב נחמן בר גוריא(2293),רב חמא בר גוריא(1175)
רב נחמן בר רב זבדא(2294),רב נחמן בר רב חסדא(2296)
רב נחמן מנהרדעא(2303),רב חנן מנהרדעא(1337)
נימוס אחיו של רבי יהושע הגרסי(2309),אונימיס אחיו של יהשע הגרסי(235)
נימוס הגרדי(2310),אבנימוס הגרדי(179)
רבי נתן בן אבטולמוס(2336),רבי יונתן בן אבטולמוס(1626)
רב נתן בר אביי(2337),רב נתן בר אמי(2341)
רב נתן בר אבין(2338),רב נתן בר אבא(2334)
רב נתן בר אסיא(2342),בר נתן אסיא(754)
רבי נתן בריה דרבי ברכיה(2343),רבי חנן בריה דרבי ברכיה בוצריה(1317)
רבי נתן בר יוסף(2346),רבי יונתן בן יוסי(1634)
רבי נתן בן עמרם(2350),רבי יונתן בן עמרם(1640)
רבי נתן דבית גוברין(2352),רבי יונתן דבית גוברין(1643)
נתן דצוציתא(2353),עוקבן בר נחמיה ריש גלותא(2432)
רבי נתן דרומה(2354),רבי אפס(557)
רבי נתן כהן אחוי דרבי חייא בר אבא(2356),רבי כהן אחוי דרבי חייא בר אבא(2002)
רבי סובייה(2360),רבי לוי סוכייה(2047)
סופיינוס(2362),אספסיינוס(553)
רב סימא בריה דרב אידי(2367),רב סמא בריה דרב אתי(2384)
רבי סימון(2369),רבי שמעון בן פזי(2891)
רבי סימון אחוה דרבי יהודה בר זבדי(2370),רבי אבא אחוה דרבי יהודה בר זבדי(15)
רבי סימון דתרי(2373),רבי תדאי(2941)
רבי סיסיי(2375),רבי סימאי(2368)
בי סלוני(2379),בר סילני(755)
רבי סמא ברבי חנינא(2386),רבי חמא בר חנינא(1176)
רב סמא בריה דרב ייבא(2387),רב ספרא בריה דרב ייבא(2399)
רב סמא בריה דרב אסי(2393),רב סמא בריה דרב אתי(2384)
רב סעורם אחוה דרבא(2397),רב שעורים אחוה דרבא(2930)
עדי טייעא(2400),בר עדי טייעא(759)
עוזיאל בר בריה דרבי עוזיאל רבה(2403),רבי עויזאל בריה דרבי חוניא דברת חוורן(2404)
רב עוירא סבא(2407),רב אויא סבא(230)
רב עוקבא בר חיננא מפרישנא(2428),רב איקא מפשרוניא(391)
רב עילא(2438),רבי עולא(2408)
רבי עילאי(2439),רבי אילעאי(368)
רבי עניני בר נחשון(2451),רבי אנינייא(527)
רב ענן בר רבא(2458),רב חנן בר רבא(1327)
רבי ענני בר ששון(2461),רבי אנינייא(527)
רבי עקיבא ברבי חנינא(2469),רבי יעקב ברבי חנינא(1862)
רבי עקיבה דקיסרי(2470),רבי יעקב דקיסרין(1874)
רבי פדא(2476),רבי פדת(2478)
פדיה(2477),בר פדא(763)
פטרוקי(2483),רבי אפטוריקי(555)
רבי פילפי בר פרוטה(2485),רבי פליפא בר פרוטה(2492)
רבי פנדא(2494),רבי פרנך(2541)
רבי פנחס בר אבון(2501),רבי פינחס בירבי בון(2503)
רבי פנחס בר חמא הכהן(2505),רבי פנחס(2498)
רב פנחס בריה דרב מרי(2510),רב פנחס בריה דרב אמי(2502)
רבי פנחס הכהן בר חמא(2513),רבי פנחס(2498)
רבי פס(2517),רבי אפס(557)
רב פפא בריה דרב יוסף(2524),רב פפא בריה דרב חנין(2521)
רב פפא בר יעקב(2525),רב אחא בר יעקב(286)
רב פפא בריה דרב נחמן(2526),רב פפא בריה דרב חנין(2521)
רבי צדוק בן חלוקה(2548),רבי יצחק בן אלעזר(1899)
בית ציצת הכסת(2550),בן ציצית הכסת(675)
רבי קוריייס(2555),רבי בירא(620)
רבי קיריס דאירמה(2559),רבי קיריס דידמא(2560)
בית קמצר(2565),בן קמצר(680)
קסגלגס(2567),גסקלס(843)
רבי קרוספי(2569),רבי קריספא(2571)
רבה בר אבין(2587),רבה בר אבוה(2586)
רבה בר טוביה בר יצחק(2604),רבה בר יצחק(2607)
רבא בר רב עזא(2620),רב אחא בר רב עוירא(291)
רבא בריה דרב עילאי(2621),רב עולא בריה דרב עילאי(2415)
רבא בר קיסנא(2623),רביא בר קיסי(2643)
רבא בר שבא(2626),רב בר שבא(2579)
רבבהו(2640),רבי אבהו(92)
רבי(2642),רבי יהודה הנשיא(1508)
רבינא בר ירמיה(2649),רבה בר ירמיה(2608)
רבינא בר סילא(2650),רבינא בר שילא(2653)
רבינא בר קיסי(2652),רביא בר קיסי(2643)
רבינא מפרזקיא(2655),רבא מפרזקיא(2637)
רבמי(2656),רבי אמי(495)
רבסי(2659),רבי אסי(535)
רבי רומינוס(2662),רבי רומנוס(2664)
ריש לקיש(2674),רבי שמעון בן לקיש(2879)
רמי בר אבין(2678),רמי בר אבא(2676)
רמי בר דיקולי(2680),רמי בר תמרי(2689)
רמי בר רב יהודה(2682),רמי בר רב יוד(2683)
רפרם בר פפא מסיכרא(2693),רפרם מסיכרא(2694)
רבי שאול דנווה(2702),רבי שאול(2695)
רבי שיין(2718),רבי אשיאן(575)
שילא בר מרי(2726),שילא מרי(2728)
רב שימי בר אביי(2733),רב שימי בר אשי(2735)
רב שימי בר אדא(2734),רב שמואל בר אחא(2773)
רב שימי בר חזקיה(2737),רב שימי בר חייא(2738)
רב שיננא בריה דרב אידי(2743),רב שישא בריה דרב אידי(2744)
של ציון המלכה(2748),שלמצי המלכה(2755)
בני שלמי הנטופתי(2751),בני סלמאי הנטופתי(2381)
רבי שמואל אחוי דרב(2767),רבי שמואל אחוי דרבי ברכיה(2764)
רב שמואל בריה דרב איקא(2777),רב שמואל בריה דרבי אבהו(2770)
רבי שמואל בן אלעזר(2778),רבי שמעון בן אלעזר(2846)
רבי שמואל בר ברכיה(2783),רבי שמואל אחוי דרבי ברכיה(2764)
רבי שמואל ברבי יונה(2789),רבי שמואל בר איניא(2776)
רבי שמואל בר רבי יוסי(2790),רבי ישמעאל ברבי יוסי(1986)
רבי שמואל בן יוצדק(2792),רבי שמעון בן יהוצדק(2865)
רב שמואל בר ייבא(2793),רבי/רב שמואל בר אבא(2768)
רב שמואל בר מרתא(2797),רב יצחק בר שמואל בר מרתא(1932)
רב שמואל בר פפא(2804),רב שמואל בר אחא(2773)
רבי שמואל ברבי(2811),רבי שמואל(2760)
רבי שמואל דסופפתא(2812),רבי שמעון דתוספתא(2902)
רב שמואל מדפתי(2817),רב ירמיה מדיפתי(1965)
רב שמן בר אבא(2826),רבי שמעון בר אבא(2839)
רב שמן מסוברא(2827),רב שמן מסיכרא(2828)
רבי שמעון אחוי דרבי ברכיה(2831),רבי שמואל אחוי דרבי ברכיה(2764)
רבי שמעון איש כפר עכו(2835),רבי שמעון בן יהודה איש כפר עכו(2864)
שמעון אפרתי(2837),יוסף אפרתי(1767)
שמעון בן אבטולמוס(2840),רבי שמעון בן אבשלום(2843)
רבי שמעון בן איסי בן לקוניא(2844),רבי שמעון ברבי יוסי בן לקוניא(2870)
רבי שמעון בר ברסנא(2848),רבי שמעון בר כרסנא(2877)
רבי שמעון בר זביד(2855),רבי סימון בר זביד(2371)
רב שמעון בר זירא(2857),רב שמעיה בר זעירא(2928)
רבי שמעון בנו של רבי יוחנן בן ברוקה(2868),רבי ישמעאל בנו של רבי יוחנן בן ברוקה(1985)
רבי שמעון בן יקים(2875),רבי שמעון בן אליקים(2845)
רבי שמעון בן נחמן(2884),רבי שמואל בר נחמני(2800)
שמעון בר נרשיה(2886),שמעון נרשייה(2916)
שמעון בן פתירה(2893),רבי שמעון בן בתירא(2849)
רבי שמעון בר קיסמא(2894),רבי שמעון בר יוסינא(2871)
רבי שמעון בן שזורי(2897),רבי שמעון שזורי(2920)
רבי שמעון בן תחליפא(2900),רבי שמעון בן חלפתא(2861)
שמעון העמסוני(2906),נחמיה העמסוני(2280)
רבי שמעון כרסנה(2914),רבי שמעון בר כרסנא(2877)
רבי שמעון נזירא(2915),רבי שמעון בן נזירא(2882)
רב שפיר(2933),בר שפיר(779)
רב ששת בריה דרב אידי(2939),רב שישא בריה דרב אידי(2744)
תחינה בן פרישה(2947),אליעזר בן דינאי(432)
רבי תחליפא בר שאול(2958),רבי חלפתא בן שאול(1155)
רבי תחליפא חמיו דרבי אבהו(2959),רבי תחליפא קיסריא(2961)
תיאודורוס הרופא(2963),תודוס הרופא(2944)
תימטינים(2965),ברתיה דדמיטינוס(798)
רבי תנחום בר חכינאי(2979),רבי תנחום(2969)
רבי תנחום דכפר גון(2989),רבי תנחום בר חייא דכפר אגין(2978)
רבי תנחום חתניה דרבי אלעזר בן אבינא(2992),רבי מנחם חתניה דרבי לעזר בר אבינא(2117)
רבי תנחומא אדרעיה(2994),רבי תנחום אדרעיא(2970)
רבי תנחומא בן יהודה(2995),רבי תנחום בר יודן(2982)
רבי שמעון בן גמליאל(5001),רבן שמעון בן גמליאל(2852)
עקיבא(5003),רבי עקיבא בן יוסף(2465)
הונא(5004),רב הונא(895)
חסדא(5005),רב חסדא(1345)
לקיש(5006),רבי שמעון בן לקיש(2879)
פפא(5007),רב פפא(2518)
רבי שמעון בן יוחי(5008),רבי שמעון בן יוחאי(2830)
רבי שמעון בר יוחאי(5009),רבי שמעון בן יוחאי(2830)
רבנא עוקבא(5811),מר עוקבא(2423)
רב יצחק(5812),רבי יצחק(1885)
חנניה(5813),רבי חנינא דציפורין(1214)
רבי ירמיה בר אבא(5814),רב ירמיה בר אבא(1954)
רבי אילעא(5815),רבי אילעאי(368)
רבי יוסי בר יהודה(5816),רבי יוסי ברבי יהודה(1695)
רבי יצחק בר אמי(5817),רב יצחק בר אמי(1901)
רב יצחק דבי רבי אמי(5819),רב יצחק בר אמי(1901)
רב אושעיא(5820),רבי אושעיא רבה(239)
רב חייא בר אבין(5821),רבי חייא בר אבין(1094)
רב אמי(5822),רבי אמי(495)
רבי חייא בר יוסף(5823),רב חייא בר יוסף(1113)
רבי חייא בר אשי(5824),רב חייא בר אשי(1102)
רב הושעיא(5825),רבי אושעיא רבה(239)
רב שמואל בר רב יצחק(5826),רבי שמואל בר רב יצחק(2795)
רבי יוסי בר חנינא(5827),רבי יוסי ברבי חנינא(1689)
רב אחא מדפתי(5828),רב אחא מדיפתי(304)
רב ירמיה(5829),רבי ירמיה(1952)
מר זוטרא בר טוביא(5830),רב זוטרא בר טוביא(1006)
רב אדא בר מתנא(5831),רב אדא בר מתנה(207)
רב זוטרא בר טוביה(5832),רב זוטרא בר טוביא(1006)
רבי יצחק בר נחמני(5833),רבי יצחק בר נחמן(1922)
אבא(10002),רב(2578)
רבי בא(10004),רבי אבא(6)
רבי בא אבוה דרבי (א)בא מארי(10007),רבי אבא אבוה דרבי אבא מארי(10)
אבא בר אבא(10008),אבא בר אבא אבוה דשמואל(17)
רבי בא בר (א)בינה(10009),רבי אבא בר אבינה(19)
רבי בא בר אחא(10010),רבי אבא בר אחא(21)
בא בר (א)בא בר ממל(10011),אבא בר אבא בר ממל(24)
רבי בא בר ביזנא(10012),רבי אבא בר אבינה(19)
רבי בא בר המנונא(10013),רבי אבא בר המנונא(30)
רבי בא בר זבדא(10014),רבי אבא בר זבדא(31)
רבי בא בר זוטרא(10015),רבי אבא בר זוטרא(32)
רבי בא בריה דרבי חייא (בר אבא)(10016),רבי אבא בריה דרבי חייא בר אבא(34)
רבי בא בר חיננא(10017),רבי אבא בר חיננא(36)
רבי בא בר טבליי(10018),רבי אבא בר טבליי(38)
רבי בא בר כהן(10019),רבי אבא בר כהן(42)
רבי בא בר ממל(10020),רבי אבא בר ממל(47)
רבי אבא ד עכו(10021),רבי אבא דמן עכו(57)
רבי בא חסידא(10022),רבי אבא חסידא(60)
אבא כהן בר דליא(10023),אבא הכהן בר דליא(61)
רבי בא קרתיגנא(10024),רבי אבא קרתיגנא(72)
רבי אבדימוס בי רבי יוסי(10025),רבי אבטילס ברבי יוסי(116)
רבי אבודמא(10026),רבי אבודמא דציפורין(86)
אבטולס(10027),אבטולמוס(113)
אבטולוס בר ראובן(10028),אבטולמוס בר ראובן(114)
רבי אביי(10029),רבי אבייא(122)
רבין(10031),רבין אבין(139)
רבי בון(10032),רבי בון אבין(141)
רבי בון בר חייה(10033),רבי אבון בר חייה(148)
רבי בון בר כהן(10034),רבי אבון בר כהן(153)
רבי בון בר כהנא(10035),רבי אבון בר כהנא(154)
רבי בון בר רבי לעזר(10036),רבין אבין(139)
אגריפס(10037),אגריפס המלך(185)
רב אדא סבא(10040),רב אדא סבא בן רב מרי בר איסור(220)
אדמון(10041),אדמון בן גדאי(224)
אדריינוס(10042),אדריינוס קיסר(225)
רבי אהבה בריה דרבי זירא(10043),רבי אהבה בריה דרבי זעירא(226)
אונקלוס(10044),עקילס הגר(2472)
רבי אושעיא(10045),רבי אושעיא רבה(239)
רב אחא בר רב עויא(10046),רב אחא בר רב עוירא(291)
רב אחדבוי(10047),רב אחדבוי בר אמי(312)
רבי אחי בר חנינא(10048),רבי יהודה בן חנניה(1444)
רבי איבו(10049),רבי איבון(333)
אלכסנדרוס(10051),אלכסנדרוס מוקדון(410)
רבי אליעזר(10052),רבי אליעזר בן הורקנוס(417)
רבי לעזר אבוי דרבי יצחק (בר נחמן)(10053),רבי אלעזר אבוי דרבי יצחק בר נחמן(420)
רבי לעזר בן דלגיי(10054),רבי אלעזר בן דלגיי(433)
רבי לעזר בי רבי חגיי(10055),רבי אלעזר בי רבי חגיי(437)
רבי לעזר בר חנינה(10056),רבי אלעזר ברבי(446)
רבי אלעזר בן יהודה(10057),רבי אלעזר בן יהודה איש ברתותא(443)
רבי אליעזר בן יהודה איש אובלין(10058),רבי אליעזר בן יהודה איש כפר אובלין(444)
רבי ליעזר בי רבי ישמעאל(10059),רבי אליעזר בן הורקנוס(417)
רבי אלעזר(10060),רבי אלעזר בן פדת(467)
רבי לעזר בן פפוס(10061),רבי אלעזר בן פנחס(471)
רבי לעזר דרומיא(10063),רבי אלעזר דרומיא(483)
רבי לעזר זעירה(10064),רבי זירא(1017)
אפרים(10065),אפרים ספרא(558)
בן בונייס(10066),בונייס בן בונייס(592)
בן אנטינוס(10069),בן אטיטס(626)
בן בטיח(10070),בן אבטיח(635)
רבי ברכיה הכהן(10071),רבי ברכיה הכהן ברבי(795)
רבן גמליאל(10073),רבן גמליאל דיבנה(829)
רבי דוסתאי(10075),רבי דוסתאי דמן בירי(861)
רבי חונה(10077),רבי חונה הונא(897)
רב הונ בריה דרב נחמן(10078),רב הונא בריה דרב נחמן(926)
ורדימוס(10080),רבי מנחם ברבי יוסי(2111)
רבי זכיי דכבול(10081),רבי זכיי דמןכבול(1024)
רב חביבא(10082),רב חביבא מסורא דפרת(1051)
חזקיה(10084),חזקיה בן רבי חייא(1075)
רבי חייא(10085),רבי חייא רובה(1088)
חנניא(10087),חנניא אחי רב שמואל בר אידי(1210)
רבי חנינא(10088),רבי חנינא בר חמא(1212)
רב חנינא(10089),רב חנינא חברון דרבנין(1213)
רבי חיננה(10091),רבי חיננה אביו של בר ישיטא(1216)
רבי חנינה(10092),רבי חנינה אחיו של רבי מנא(1218)
רבי חנניה בן חזקיה(10093),רבי חנניה בן חזקיה בן גרון(1245)
רב יסי(10095),רבי אסי(535)
רב יהודה(10096),רב יהודה בר יחזקאל(1394)
רבי יהודה(10097),רבי יהודה ברבי אילעאי(1395)
רבי יודן בריה דרבי(10098),רבי יודן(1396)
רבי יהושע(10100),רבי יהושע בן חנניה(1527)
רבי בן בתירא(10101),רבי יהושע בן בתירא(1536)
רבי בן בג בג(10102),רבי יוחנן בן בג בג(1576)
רבי יוחנן דקציון(10104),רבי יוחנן דקרציון(1603)
רבי יונתן(10106),רבי יונתן בן אלעזר איש הבירה(1624)
יונתן(10107),יונתן בן הרכינס(1630)
רבי יוסי(10108),רבי יוסי בן חלפתא(1657)
רב יוסף(10111),רב יוסף בר חייא(1764)
רבי ינאי(10112),רבי ינאי רבה(1814)
רבי יעקב בן דוסאי(10114),רבי יעקב בן דוסתאי(1860)
רבי יעקב מפרתים(10115),רבי יעקב מעפרתים(1879)
ישבב(10117),ישבאב(1969)
רבי ישבב(10119),רבי ישבב הסופר(1971)
ישמעאל איש כפר ימא(10121),ישמעאל איש כפר דימא(1975)
רבי ישמעאל(10123),רבי ישמעאל בן אלישע(1979)
רבי כרוספדאי(10124),רבי קריספא(2571)
לוי(10125),לוי בר סיסי(2032)
רבי לוי בר חמא(10126),רבי לוי בר לחמא(2041)
רבי לעיי(10127),רבי אילעאי הזקן(367)
רבי מי(10128),רבי אמי(495)
רב מנשיא בר ירמיה(10130),רב מנשיא בר ירמיה מגיפתי(2143)
מר זוטרא(10131),מר זוטרא חסידא(2161)
מרים בתו של נקדימון(10132),מרים בתו של נקדימון בן גוריון(2195)
מרתא(10133),מרתא אחות רבי חייא(2202)
מתיא בן שמואל(10134),מתתיא בן שמואל(2222)
רבי נחוניא(10135),רבי נחוניא בן אלינתן איש כפר הבבלי(2257)
נחונייה(10136),נחונייה בן יוסף בן פכסס(2264)
רב נחמיה(10137),רב נחמיה בר ברוך(2271)
רבי נחמיה בריה דרבי חייא בר אבא(10138),רבי ניחומי בריה דרבי חייא בר אבא(2308)
רב נחמן(10139),רב נחמן בר יעקב(2285)
רבי נסא(10140),רבי נסא דקיסרין(2320)
רב נתן(10141),רב נתן בן המשולם(2344)
עולא(10142),עולא נחותא(2409)
רבי עקיבא(10143),רבי עקיבא בן יוסף(2465)
רבי פנחס בר חמא(10144),רבי פנחס(2498)
רבה(10145),רבה בר נחמני(2581)
רבה בר מרי(10146),רבה בר מריון(2613)
רב שימי(10148),רב שימי בר אשי(2735)
שלמצי(10149),שלמצי המלכה(2755)
שמאי(10150),שמאי הזקן(2758)
רבי שמואל בר חייה(10151),רבי שמואל בר חייה בר יהודה(2785)
רבי שמואל בר חלפ(10152),רבי שמואל בר חלפתא(2786)
רבי שמואל בר נדב(10153),רבי שמואל בר נדב חתניה דרבי חנינא(2798)
רבי שמלאי(10154),רבי שמלאי הדרומי(2824)
רב שמן(10155),רב שמן מסיכרא(2828)
רבי שמעון(10156),רבי שמעון בן יוחאי(2830)
רבי בן הסגן(10157),רבי שמעון בן הסגן(2854)
רבי שמעון בן יהודה(10159),רבי שמעון בן יהודה איש כפר עכו(2864)
רבי שמעון בן יוצדק(10160),רבי שמעון בן יהוצדק(2865)
רבי בן נזירא(10161),רבי שמעון בן נזירא(2882)
רבי בן ננס(10162),רבי שמעון בן ננס(2885)
רב שמעיה בר זירא(10164),רב שמעיה בר זעירא(2928)
רב תחליפא בר אבימי(10165),רב תחליפא בר אבדימי(2952)
רבי תחליפא חמיו(10166),רבי תחליפא קיסריא(2961)
רבי תנחום בר חייא(10168),רבי תנחום בר חייא דכפר אגין(2978)
הלל הזקן(20377),הלל(965)
רב אדא בר אבא(20743),רבה בר אבוה(2586)
רב אידי(20816),רבי אידי(341)
רב חייא(20951),רבי חייא רובה(1088)
רב יהודה בריה דרבי חייא(21076),רבי יהודה בריה דרבי חייא(1441)
רב יצחק בר אבודימי(21116),רב יצחק בר אבדימי(1890)
רב עוקבא בר חמא(21225),מר/רב עוקבא בר חמא(2429)
רב שמואל בר יצחק(21269),רבי שמואל בר רב יצחק(2795)
רבא בר עולא(21332),רבה בר עולא(2618)
רבא בר רב הונא(21337),רבה בר רב הונא(2596)
רבא בר רב חנן(21340),רבה בר רב חנן(2602)
רבה בר הונא(21368),רבה בר רב הונא(2596)
רבה בר רב שילא(21396),רבה בר שילא(2627)
רבה בר שמואל(21401),רבא בר שמואל(2631)
רבי אליעזר ברבי יוסי(21599),רבי אליעזר בנו של רבי יוסי הגלילי(447)
רבי אליעזר ברבי צדוק(21600),רבי אלעזר ברבי צדוק(475)
רבי אלעא(21606),רבי אילעאי(368)
רבי אלעאי(21608),רבי אילעאי(368)
רבי אלעזר בר צדוק(21648),רבי אלעזר ברבי צדוק(475)
רבי אשי(21702),רב אשי(571)
רבי הונא(21781),רב הונא(895)
רבי חידקא(21841),רבי חדקא(1060)
רבי חמא ברבי חנינא(21952),רבי חמא בר חנינא(1176)
רבי חנין(21960),רב חנין(1305)
רבי יהודה בן בתירה(22095),רבי יהודה בן פתירוש(1480)
רבי יוחנן בן ברוקה(22271),רבי יוחנן בן ברוקא(1577)
רבי יוסף(22409),רב יוסף בר חייא(1764)
רבי יצחק נפחא(22538),רבי יצחק(1885)
רבי מני(22641),רבי מונא(2075)
רבי שמעון ברבי(22858),רבי שמעון בר רבי(2896)
