ID, Link ID, Concatenated Name
20056,0,אבא חלפתא
22422,0,רבי ינאי בריה דר' ינאי סבא
21755,0,רבי גידל בר מניומי
21127,0,רב יצחק בר רדיפא
22374,0,רבי יוסי בר פטרום
21316,0,רבא בר חנינא
21550,0,רבי אחא בר זבינא
22912,0,רבי תנחומא בי רבי יונה מבצוצרא
20982,0,רב חמא בר גוריה
20155,0,אחיה ושמעיה אחיו
21522,0,רבי אבין בר כהנא
21143,0,רב כהנא בר טוביא
20771,0,רב אחא בר יצחק
20807,0,רב אחא שר הבירה
20311,0,בר נפחא
20746,0,רב אדא בר חוניא
20711,0,פנחס בן גובתא דאריח
22944,0,רבנן דרומיא
21023,0,רב חנן בר אשי
22942,0,רבנן דציפורי
22216,0,רבי יהושע בריה דר' בירי
21909,0,רבי חילא
20817,0,רב אידי בר אבין השני
21017,0,רב חנינא בר כהנא
22923,0,רבין בר שבא
21279,0,רב שמואל מדיפתא
22072,0,רבי חנניה חברון דרבנן
20983,0,רב חמא בר חנינא
21424,0,רבי אבא בר אובו רב
21050,0,רב חסדא מיוסתניא
20518,0,יוסי בת זבירא
21101,0,רב יוסף בריה דרבה
22619,0,רבי מיאשא בריה דרבי יהושע בן לוי
22012,0,רבי חנינא בריה דר' אחא
20536,0,יושעה בריה דרב חננאל
22918,0,רבין בר חיננא פסחים
22583,0,רבי לוי בן פרטא
22226,0,רבי יודה בן לקרח
20929,0,רב הנניא בר שלמיא
20442,0,חנן בר פנחס
20723,0,קמצא ובר קמצא
22246,0,רבי יודן בר רב יצחק
20543,0,ינאי בריה דר' אמי
22041,0,רבי חנן בריה
21517,0,רבי אבין בר הנין
22265,0,רבי יוחי בר יודן
22707,0,רבי עוזיאל בריה דר' נחוניא דברת חוורן
21707,0,רבי בא בר בינא
22593,0,רבי לוי בר נזירה
21889,0,רבי חייא בריה דרב ייבא
22466,0,רבי יעקב ברה דבת שמואל
21255,0,רב שמואל בר אבהו
22937,0,רבנא נחמיה ואחיא מר עוקבא בני ברתיה דרב
22208,0,רבי יהושע בר חמא
21291,0,רב ששת בריה דרב יהושע
22127,0,רבי יהודה בר חביבא
22383,0,רבי יוסי בר' דוסא
21136,0,רב ירמיה בר אחא
21629,0,רבי אלעזר בן מהבאי
22716,0,רבי ענניאל בר ששון
21138,0,רב ירמיה מדיפתא
20553,0,יצחק בר איסטייא
21773,0,רבי דוסתאי בר' ינאי
22487,0,רבי יצחק בר אבא בר מחסיא
20016,0,אבא בר אבימי
21502,0,רבי אבוה בן זוטרא
20389,0,זעירא בר חייא בר אשי
20279,0,בנימין בר אשתור
22120,0,רבי יהודה בר בוני
22864,0,רבי שמעון הצדוני
20858,0,רב גביה מבי כתיל
20500,0,יוחנן שר הבירה
20654,0,נוהא מר בריה דר''ג
20211,0,אסא בר הינא
20438,0,חנמאל בן שלם דוד ירמיה
22532,0,רבי יצחק בריה
21219,0,רב עבדא
20809,0,רב אחדבוי בר אבין
22338,0,רבי יוסי בן דולגאי
22231,0,רבי יודן ב''ב דרש''בי
22836,0,רבי שמעון בר אליקים
20377,965,הלל הזקן
21479,0,רבי אבדומי בר תנחום
20490,0,יוחנן איש ירושלים
20231,0,ביבי בר גוזלון
21230,0,רב עמרם הסידא
21471,0,רבי אבא זוטי
20097,0,אבא תחנא חסידא
21672,0,רבי אמי בר יודן
20088,0,אבא סקרא
22997,0,שמעי בן גרא
21137,0,רב ירמיה בר אמי
21258,0,רב שמואל בר איני
21164,0,רב מנשה בר שגובלי
20158,0,איבו אביו של רב
22524,0,רבי יצחק בר רדיפא
20936,0,רב זוטרא בריה דרב מרי
20328,0,גדליה בן אחקם
22093,0,רבי יהודה בן אחותו של רבי יוסי בר' חנינא
20127,0,אדא בר אבימי
21000,0,רב חנא חתיה דרב אדא בר אהבה
22738,0,רבי פנחס בר אידי
22632,0,רבי מנחם בר יעקב
21336,0,רבא בר קסנא
21481,0,רבי אבדימא דחיפה
21126,0,רב יצחק בר רב משרשיא
22805,0,רבי שמואל בר תנחום
20533,0,יועזר איש הבירה
22597,0,רבי לוי בר' טרפון
21994,0,רבי חנינא בר כהנא
22862,0,רבי שמעון דימא
22733,0,רבי פנחס בי רבי חנניא
20795,0,רב אחא בריה דרב עוירא
21905,0,רבי חייא פרוואה
22527,0,רבי יצחק בר' יוסי
21765,0,רבי דוסא בן ארכניס
22014,0,רבי חנינא בריה דר' בחיי
21743,0,רבי ברכיה בוצריה
20123,0,אבין רמאה
22962,0,שלום בן יבש מלך ישראל
21690,0,רבי אסי בר חייא
21458,0,רבי אבא בר שמואל
